path,filename,ext,size_mb,category_hint,priority
"/Volumes/Untitled/업로드 전/AI 기술의 급속한 발달과 이미 시작된 주니어 소멸_by 세바시 강연 with 박태웅 녹서포럼 의장_from Youtube to NotebookLM Slide_20251229.pdf","AI 기술의 급속한 발달과 이미 시작된 주니어 소멸_by 세바시 강연 with 박태웅 녹서포럼 의장_from Youtube to NotebookLM Slide_20251229.pdf",pdf,12.76,"기타",3
"/Volumes/Untitled/업로드 전/나와 함께 준비하는 중학생활(최종본).pdf","나와 함께 준비하는 중학생활(최종본).pdf",pdf,12.71,"기타",3
"/Volumes/Untitled/업로드 전/2026_중앙대_학생부종합_가이드북.pdf","2026_중앙대_학생부종합_가이드북.pdf",pdf,12.61,"기타",3
"/Volumes/Untitled/업로드 전/2026학년도 경남교육청 대입을 위한 면접 전략 자료집 학생부 기반 면접 자료집.pdf","2026학년도 경남교육청 대입을 위한 면접 전략 자료집 학생부 기반 면접 자료집.pdf",pdf,12.49,"기타",3
"/Volumes/Untitled/업로드 전/런던 베이글 뮤지엄_시장 분석 및 미래 전략_by Felo Agent Report to PDF_20250818.pdf","런던 베이글 뮤지엄_시장 분석 및 미래 전략_by Felo Agent Report to PDF_20250818.pdf",pdf,12.29,"기타",3
"/Volumes/Untitled/업로드 전/NEW_태재대학교 2026입학설명회_20251201.pdf","NEW_태재대학교 2026입학설명회_20251201.pdf",pdf,12.19,"기타",3
"/Volumes/Untitled/업로드 전/2026 사탐런 고민중이라면_대학미래연구소 이재진 소장_from Youtube to Gamma_20250217.pdf","2026 사탐런 고민중이라면_대학미래연구소 이재진 소장_from Youtube to Gamma_20250217.pdf",pdf,12.13,"기타",3
"/Volumes/Untitled/업로드 전/고등학생+대입정보+가이드북 (1).pdf","고등학생+대입정보+가이드북 (1).pdf",pdf,12.13,"기타",3
"/Volumes/Untitled/업로드 전/경기도교육청_IB 중학교 교육 프로그램(MYP).pdf","경기도교육청_IB 중학교 교육 프로그램(MYP).pdf",pdf,11.85,"기타",3
"/Volumes/Untitled/업로드 전/1-2. 과목 선택 지도.pdf","1-2. 과목 선택 지도.pdf",pdf,11.84,"기타",3
"/Volumes/Untitled/업로드 전/쎈(SEN)진학 2026 정시 대학별분석1 서울권 일반대학교 책갈피 추가 by 훈선생.pdf","쎈(SEN)진학 2026 정시 대학별분석1 서울권 일반대학교 책갈피 추가 by 훈선생.pdf",pdf,11.81,"기타",3
"/Volumes/Untitled/업로드 전/대입제도의변화와선택형교육과정지도사례(목포고 송미강).pdf","대입제도의변화와선택형교육과정지도사례(목포고 송미강).pdf",pdf,11.28,"기타",3
